chr	start	end	subNumb	polyNumb
chr1	20478120	20478338	2	4
chr1	20588831	20588986	2	2
chr1	20590333	20590711	3	4
chr1	20603912	20604143	2	2
chr1	20604774	20604980	4	6
chr1	21317392	21317619	2	3
chr1	21324944	21325208	2	6
chr1	21329416	21329739	3	3
chr1	22437675	22437850	4	2
chr1	23368786	23368985	3	N_VARIANTS
chr1	23456947	23457123	2	N_VARIANTS
chr1	23478983	23479140	2	1
chr1	23531288	23531540	2	2
chr1	23727358	23727722	2	1
chr1	23801454	23801769	4	1
chr1	24414039	24414229	2	2
chr1	24541037	24541300	2	3
chr1	24549241	24549498	6	2
chr1	24859488	24859714	4	3
chr1	25012301	25012531	2	5
chr1	25233111	25233390	2	1
chr1	25247411	25247706	8	4
chr1	25573584	25573870	4	3
chr1	25998121	25998285	2	1
chr1	26473045	26473280	2	N_VARIANTS
chr1	26900372	26900545	3	1
chr1	26964132	26964344	2	1
chr1	27192015	27192530	4	3
chr1	27557463	27557671	2	N_VARIANTS
chr1	27755919	27756126	2	1
chr1	27904559	27904885	5	4
chr1	28235222	28235545	2	4
chr1	28282427	28282773	3	2
chr1	28284908	28285236	2	3
chr1	28290356	28290499	2	N_VARIANTS
chr1	28313963	28314327	5	2
chr1	29146036	29146383	2	2
chr1	29186274	29186543	2	N_VARIANTS
chr1	29469516	29469745	4	2
chr1	29786855	29787060	2	3
chr1	30822093	30822261	2	N_VARIANTS
chr1	31024739	31024951	3	2
chr1	31524597	31524880	5	4
chr1	31911069	31911375	2	N_VARIANTS
chr1	31940092	31940409	2	3
chr1	32178351	32178716	2	1
chr1	32705054	32705238	2	1
chr1	32716630	32716931	3	7
chr1	33055773	33056063	3	4
chr1	34316866	34317138	2	2
chr1	34547145	34547453	2	3
chr1	35172035	35172257	4	2
chr1	35345780	35346060	2	3
chr1	35355036	35355208	2	1
chr1	36218259	36218407	2	2
chr1	36248372	36248608	2	2
chr1	36269467	36269768	3	3
chr1	36374751	36374945	2	2
chr1	37517639	37517907	2	2
chr1	37534452	37534723	3	4
chr1	39934230	39934759	2	5
chr1	40339184	40339426	4	6
chr1	40539359	40539754	3	4
chr1	40567907	40568148	3	3
chr1	40986531	40986881	3	3
chr1	41152706	41152937	2	2
chr1	41232382	41232596	2	2
chr1	41476722	41477025	4	1
chr1	42046662	42047004	2	2
chr1	42214598	42214880	2	4
chr1	43247313	43247624	2	N_VARIANTS
chr1	43281584	43281850	2	3
chr1	43282469	43282777	2	1
chr1	44681992	44682347	2	3
chr1	45172050	45172292	2	N_VARIANTS
chr1	45491133	45491472	2	4
chr1	45503910	45504224	2	N_VARIANTS
chr1	45687083	45687351	2	3
chr1	46003333	46003675	2	4
chr1	46481152	46481346	2	2
chr1	47722950	47723240	4	1
chr1	48671644	48671940	3	5
chr1	48680734	48681031	3	2
chr1	50286089	50286317	2	N_VARIANTS
chr1	50527867	50528079	3	1
chr1	51288685	51288919	2	N_VARIANTS
chr1	51878743	51879013	2	1
chr1	52002380	52002588	2	1
chr1	52404343	52404675	3	5
chr1	52703215	52703561	3	3
chr1	52737739	52737932	4	4
chr1	52907116	52907332	3	N_VARIANTS
chr1	52916483	52916974	3	3
chr1	52929115	52929372	4	1
chr1	53153850	53154047	4	3
chr1	53165504	53165733	3	4
chr1	53183445	53183727	2	5
chr1	53754816	53754977	2	N_VARIANTS
chr1	53982366	53982572	2	2
chr1	54153873	54154174	4	3
chr1	54365035	54365413	3	1
chr1	54425110	54425297	2	1
chr1	54658618	54658807	5	5
chr1	54885249	54885530	3	4
chr1	54923088	54923517	2	2
chr1	55052815	55053117	2	5
chr1	55053316	55053578	4	5
chr1	56330148	56330311	3	4
chr1	56461356	56461677	2	6
chr1	56496247	56496405	2	1
chr1	56508568	56508906	6	4
chr1	56545988	56546222	3	1
chr1	56780472	56780597	3	1
chr1	56816962	56817239	2	4
chr1	56910435	56910710	2	3
chr1	56911423	56911937	5	15
chr1	56967970	56968126	2	4
chr1	56974022	56974153	2	3
chr1	56995692	56995941	3	2
chr1	57033727	57033943	2	N_VARIANTS
chr1	57280204	57280559	4	4
chr1	57325273	57325472	2	3
chr1	58032865	58033156	3	N_VARIANTS
chr1	58152790	58153010	3	1
chr1	58155670	58155844	3	1
chr1	58752700	58753298	4	14
chr1	58881658	58881912	3	2
chr1	58964892	58965319	8	5
chr1	58971664	58972036	2	1
chr1	59043742	59044066	3	2
chr1	59136641	59136989	2	2
chr1	59292608	59292911	2	5
chr1	59511532	59511851	4	1
chr1	59540095	59540278	3	3
chr1	59543448	59543714	3	1
chr1	59549908	59550195	2	1
chr1	59673899	59674230	2	2
chr1	59697209	59697433	2	3
chr1	59939490	59939719	4	2
chr1	60262759	60262926	2	2
chr1	60266332	60266513	4	1
chr1	60274522	60274761	3	2
chr1	60829077	60829364	2	1
chr1	61077105	61077366	2	1
chr1	61120989	61121283	2	2
chr1	61122382	61122752	3	4
chr1	61139502	61139699	2	3
chr1	61213689	61213930	2	4
chr1	61223242	61223471	2	2
chr1	61974428	61974685	3	4
chr1	62384677	62384983	2	N_VARIANTS
chr1	63718794	63719008	4	N_VARIANTS
chr1	64437616	64437853	2	N_VARIANTS
chr1	64936975	64937270	3	5
chr1	64987372	64987824	2	2
chr1	65066798	65066997	2	N_VARIANTS
chr1	65170412	65170934	2	5
chr1	66300638	66300961	2	2
chr1	66416375	66416625	2	2
chr1	67495426	67495650	2	3
chr1	67514440	67514646	2	2
chr1	67522082	67522393	2	5
chr1	68050343	68050652	2	7
chr1	68050686	68050899	3	6
chr1	77680226	77680476	2	N_VARIANTS
chr1	78223461	78223793	2	2
chr1	78473180	78473407	3	2
chr1	78474178	78474398	2	1
chr1	78476248	78476572	2	3
chr1	78687387	78687641	3	2
chr1	81803760	81804012	3	3
chr1	83548017	83548243	3	N_VARIANTS
chr1	83757054	83757390	3	5
chr1	83845471	83845761	3	2
chr1	83929236	83929543	2	N_VARIANTS
chr1	84504546	84504767	2	1
chr1	85135152	85135491	2	2
chr1	87362858	87363148	2	1
chr1	89065287	89065519	3	1
chr1	89407350	89407664	5	2
chr1	89823071	89823349	3	2
chr1	89887262	89887495	3	2
chr1	90123040	90123322	2	2
chr1	90779566	90779908	3	4
chr1	91201275	91201545	2	2
chr1	91735384	91735536	2	5
chr1	91776458	91776653	2	3
chr1	93179548	93179918	2	3
chr1	93758920	93759316	3	7
chr1	94345410	94345612	2	4
chr1	94950101	94950374	2	1
chr1	95096418	95096791	2	4
chr1	95115756	95116147	4	7
chr1	95122172	95122410	3	1
chr1	96159486	96159738	2	2
chr1	96215067	96215261	2	1
chr1	96465507	96465830	3	2
chr1	96488011	96488235	3	2
chr1	97252138	97252442	4	3
chr1	97338555	97338749	2	1
chr1	97919654	97919873	2	1
chr1	99566713	99567002	3	5
chr1	99645213	99645574	2	4
chr1	100130762	100130971	2	1
chr1	100515884	100516149	5	4
chr1	100721515	100721766	3	4
chr1	101193715	101194058	5	5
chr1	108646837	108647179	3	2
chr1	108829637	108829874	2	2
chr1	109162394	109162602	2	4
chr1	110092999	110093354	4	1
chr1	111399906	111400195	2	2
chr1	112994275	112994609	3	4
chr1	113292620	113292898	2	1
chr1	114720531	114720867	4	1
chr1	116273561	116273858	3	5
chr1	116289204	116289568	2	5
chr1	116333938	116334110	2	1
chr1	116496468	116496749	2	3
chr1	116619186	116619332	3	N_VARIANTS
chr1	116921567	116921812	2	1
chr1	117007288	117007531	3	3
chr1	117529771	117530011	3	5
chr1	117544815	117545085	2	2
chr1	117633442	117633769	2	5
chr1	118812741	118812870	2	3
chr1	118951517	118951682	2	4
chr1	118963654	118963988	2	1
chr1	119041056	119041198	2	1
chr1	119488236	119488512	2	3
chr1	119711706	119711952	3	4
chr1	119779968	119780318	2	N_VARIANTS
chr1	119784435	119784889	2	9
chr1	120032285	120032677	2	N_VARIANTS
chr1	121522083	121522394	2	3
chr1	121525484	121525668	2	2
chr1	143631510	143631689	10	5
chr1	143730283	143730505	4	N_VARIANTS
chr1	143742829	143743037	2	1
chr1	143944888	143945168	1	N_VARIANTS
chr1	143944920	143945196	1	N_VARIANTS
chr1	145203074	145203322	11	N_VARIANTS
chr1	147001429	147001591	3	1
chr1	147515045	147515389	2	2
chr1	148139422	148139667	5	N_VARIANTS
chr1	149081638	149081867	5	2
chr1	149094404	149094599	10	N_VARIANTS
chr1	149094466	149094709	12	N_VARIANTS
chr1	149841256	149841548	2	N_VARIANTS
chr1	149939221	149939459	3	1
chr1	150051083	150051238	2	1
chr1	150403664	150403900	2	2
chr1	150548983	150549180	2	N_VARIANTS
chr1	150667880	150668141	4	2
chr1	150876771	150877088	2	N_VARIANTS
chr1	151311693	151311967	3	2
chr1	151547130	151547561	2	N_VARIANTS
chr1	152052662	152052840	4	1
chr1	152657703	152657991	2	3
chr1	153860305	153860560	2	N_VARIANTS
chr1	153990510	153990876	3	4
chr1	155048536	155048732	3	1
chr1	155105728	155106004	3	1
chr1	155107327	155107659	3	2
chr1	155127136	155127490	5	5
chr1	155178957	155179142	2	2
chr1	155241244	155241444	3	1
chr1	155637539	155637703	2	3
chr1	155858925	155859130	2	1
chr1	155991101	155991460	4	3
chr1	159712095	159712348	3	1
chr1	159752018	159752567	4	7
chr1	159991679	159991870	3	N_VARIANTS
chr1	160096730	160096929	2	1
chr1	160252043	160252265	4	2
chr1	160284163	160284434	2	3
chr1	161224302	161224556	2	N_VARIANTS
chr1	161255357	161255551	2	1
chr1	162152339	162152831	3	5
chr1	162213353	162213772	2	N_VARIANTS
chr1	162235181	162235539	3	1
chr1	162365727	162365998	2	3
chr1	162366327	162366556	2	3
chr1	162388565	162388857	3	5
chr1	162613054	162613283	2	1
chr1	162719673	162720055	2	3
chr1	162790433	162790766	2	3
chr1	165234205	165234454	2	3
chr1	165680418	165680635	2	4
chr1	165738182	165738412	2	2
chr1	167555955	167556415	2	5
chr1	167974872	167975048	2	1
chr1	168203307	168203572	4	2
chr1	168266595	168266906	3	5
chr1	168504201	168504515	3	1
chr1	168546045	168546282	3	2
chr1	168574356	168574512	6	3
chr1	169523981	169524236	2	N_VARIANTS
chr1	169745110	169745507	4	5
chr1	171142098	171142425	2	9
chr1	171160930	171161218	2	3
chr1	171257120	171257431	4	4
chr1	171344524	171344882	2	5
chr1	171366110	171366334	3	1
chr1	171653841	171654047	2	N_VARIANTS
chr1	173127871	173128164	2	4
chr1	173190632	173190957	2	1
chr1	173452012	173452347	3	3
chr1	173504296	173504679	4	5
chr1	173527092	173527444	2	1
chr1	175073078	175073364	4	2
chr1	175155957	175156197	2	2
chr1	175344748	175344944	2	3
chr1	175531065	175531298	4	3
chr1	176766822	176766981	5	1
chr1	177707008	177707313	3	6
chr1	177780182	177780382	5	5
chr1	177961356	177961556	2	1
chr1	178010739	178010958	2	1
chr1	178537520	178537776	2	1
chr1	178551270	178551478	2	3
chr1	178706543	178706772	4	3
chr1	179091645	179091983	5	2
chr1	180123442	180123781	3	5
chr1	182460631	182460892	2	4
chr1	182575569	182575918	3	2
chr1	182616284	182616459	3	N_VARIANTS
chr1	183002854	183003091	3	2
chr1	184806431	184806714	2	1
chr1	185533642	185533949	2	2
chr1	185646257	185646462	2	3
chr1	186059488	186059760	2	N_VARIANTS
chr1	193111634	193111979	2	N_VARIANTS
chr1	193472982	193473154	2	1
chr1	193558686	193559039	3	3
chr1	193602825	193603040	2	1
chr1	195328113	195328510	6	4
chr1	196143938	196144226	5	4
chr1	196608379	196608686	2	2
chr1	196774590	196774746	3	1
chr1	196941577	196941746	2	6
chr1	196943566	196943868	2	N_VARIANTS
chr1	197174136	197174440	2	3
chr1	197675570	197676023	3	5
chr1	197994851	197995610	7	12
chr1	198361519	198361721	2	N_VARIANTS
chr1	200022176	200022403	2	2
chr1	200118809	200119117	2	3
chr1	200267513	200267729	2	3
chr1	200372100	200372328	2	2
chr1	200413915	200414069	2	2
chr1	200442802	200443044	2	3
chr1	201154409	201154761	2	5
chr1	201170588	201170941	3	3
chr1	201309613	201309846	2	3
chr1	202143174	202143359	2	1
chr1	202861559	202861849	2	2
chr1	202889128	202889433	3	6
chr1	202927141	202927418	5	5
chr1	203200096	203200379	3	6
chr1	203202730	203202866	2	2
chr1	203244832	203245179	3	5
chr1	203914358	203914642	4	4
chr1	204190227	204190416	3	1
chr1	204213879	204214175	2	N_VARIANTS
chr1	204254164	204254497	2	3
chr1	204411884	204412189	3	5
chr1	204435546	204435917	3	2
chr1	204507001	204507259	6	8
chr1	204516241	204516479	2	2
chr1	204885384	204885660	3	2
chr1	205003323	205003568	2	3
chr1	205690203	205690409	2	1
chr1	205710796	205711059	3	2
chr1	206509073	206509315	4	N_VARIANTS
chr1	206723786	206724125	5	4
chr1	206970405	206970801	2	2
chr1	207703783	207703961	4	3
chr1	208102175	208102471	3	1
chr1	208135568	208135757	2	1
chr1	208163644	208163857	2	3
chr1	208252579	208252864	3	4
chr1	208292418	208292668	2	4
chr1	208628707	208628871	2	1
chr1	209838553	209838917	3	6
chr1	210373881	210374289	9	27
chr1	210822912	210823160	2	N_VARIANTS
chr1	210909892	210910563	2	4
chr1	212012443	212012698	2	1
chr1	212261723	212261938	2	N_VARIANTS
chr1	212518560	212518848	2	4
chr1	213372258	213372508	3	N_VARIANTS
chr1	213666226	213666405	2	5
chr1	213679102	213679305	2	5
chr1	213737423	213737741	3	1
chr1	213956229	213956542	3	2
chr1	214174937	214175174	2	4
chr1	214220045	214220255	3	5
chr1	215643970	215644199	2	1
chr1	215660321	215660592	5	1
chr1	216314901	216315040	2	1
chr1	216499636	216499968	2	6
chr1	216529947	216530120	2	7
chr1	219171599	219171858	3	2
chr1	219227823	219228008	2	1
chr1	219926676	219927045	2	4
chr1	219941820	219942061	2	N_VARIANTS
chr1	220692557	220692822	3	6
chr1	220698803	220699120	3	4
chr1	220767347	220767612	2	4
chr1	220768261	220768504	2	5
chr1	220962049	220962398	2	3
chr1	221518035	221518209	5	N_VARIANTS
chr1	221552873	221553082	2	5
chr1	221701611	221701856	2	1
chr1	221718589	221718864	2	2
chr1	221835208	221835470	3	2
chr1	221937607	221937873	3	2
chr1	222104229	222104481	2	3
chr1	223137425	223137740	2	2
chr1	223175163	223175357	2	1
chr1	223248330	223248664	2	4
chr1	223288903	223289099	2	N_VARIANTS
chr1	223639261	223639557	2	3
chr1	224708518	224708720	3	1
chr1	224781874	224782033	2	N_VARIANTS
chr1	225891685	225891948	3	4
chr1	225924151	225924366	3	6
chr1	226182135	226182330	2	1
chr1	227316085	227316322	2	4
chr1	227323303	227323520	3	2
chr1	228084523	228084709	2	1
chr1	228109346	228109513	2	N_VARIANTS
chr1	228697303	228697628	4	1
chr1	228830346	228830510	2	5
chr1	229117573	229117893	2	3
chr1	229221143	229221440	3	4
chr1	230004638	230004793	3	1
chr1	230158682	230159275	4	11
chr1	230304055	230304229	2	1
chr1	230714078	230714304	3	2
chr1	230715586	230715869	3	6
chr1	231383575	231383818	2	1
chr1	231986995	231987216	2	6
chr1	232620509	232620841	3	2
chr1	232764941	232765151	2	2
chr1	232869012	232869282	2	3
chr1	233257847	233258041	3	1
chr1	233461907	233462155	3	2
chr1	234458472	234458636	3	2
chr1	234538000	234538332	7	5
chr1	234574049	234574310	2	1
chr1	234643328	234643491	2	N_VARIANTS
chr1	234723365	234723559	2	N_VARIANTS
chr1	234816252	234816484	3	N_VARIANTS
chr1	234874675	234874973	3	4
chr1	234875634	234875977	5	2
chr1	234960834	234961020	3	2
chr1	234968470	234968661	2	2
chr1	234976271	234976546	2	3
chr1	235411715	235412128	3	4
chr1	235932187	235932550	6	7
chr1	235942392	235942722	3	3
chr1	236018808	236019232	3	2
chr1	236835428	236835748	4	N_VARIANTS
chr1	237857590	237857827	8	5
chr1	238370714	238370888	2	4
chr1	239233699	239233924	2	4
chr1	239315367	239315601	4	1
chr1	239349043	239349311	2	1
chr1	239910039	239910234	3	N_VARIANTS
chr1	240468685	240468877	2	1
chr1	240599932	240600132	3	3
chr1	240649729	240650106	3	2
chr1	243455863	243456116	2	4
chr1	243739653	243739877	3	1
chr1	244095032	244095301	2	3
chr1	244801332	244801554	3	6
chr1	245045565	245045765	2	3
chr1	245051553	245051756	4	1
chr1	245107005	245107221	3	2
chr1	246709246	246709506	3	1
chr1	246769395	246769507	3	1
chr10	870865	871124	2	3
chr10	878348	878586	2	N_VARIANTS
chr10	3103133	3103344	2	6
chr10	3668350	3668602	2	3
chr10	3720480	3720856	3	3
chr10	3727277	3727619	2	4
chr10	3747982	3748256	2	4
chr10	4947747	4948118	3	2
chr10	5009107	5009487	4	5
chr10	5043634	5044109	5	4
chr10	5045146	5045391	3	3
chr10	5125372	5125951	2	1
chr10	5234108	5234460	3	3
chr10	5528467	5528719	5	3
chr10	5930253	5930570	3	4
chr10	5932420	5932744	4	4
chr10	6192202	6192359	2	3
chr10	6401501	6401758	3	N_VARIANTS
chr10	7233725	7234037	3	N_VARIANTS
chr10	7700577	7700873	2	2
chr10	8173277	8173607	3	2
chr10	8181545	8181882	3	7
chr10	8183259	8183431	2	2
chr10	11522998	11523328	2	1
chr10	11640220	11640594	7	10
chr10	11837443	11837741	3	5
chr10	11864863	11865094	3	1
chr10	11898297	11898440	2	1
chr10	11931153	11931468	3	2
chr10	12194974	12195159	2	1
chr10	12235857	12236049	2	4
chr10	12239000	12239172	3	3
chr10	12299566	12299891	2	2
chr10	12456690	12457080	4	6
chr10	12841914	12842182	2	2
chr10	13102256	13102431	3	1
chr10	13997780	13998070	2	1
chr10	14049321	14049629	4	5
chr10	14562699	14562874	2	6
chr10	14572077	14572484	3	2
chr10	14579476	14579723	2	5
chr10	14837951	14838172	2	1
chr10	15108467	15108639	2	1
chr10	15137023	15137246	2	4
chr10	15194362	15194576	2	5
chr10	16116531	16116753	2	3
chr10	16817632	16817972	2	2
chr10	18261978	18262247	3	5
chr10	18332108	18332456	4	N_VARIANTS
chr10	18615723	18615931	2	1
chr10	19385907	19386169	3	2
chr10	20932693	20932860	2	3
chr10	20986190	20986484	3	4
chr10	20988347	20988966	4	5
chr10	21022313	21022491	3	4
chr10	21584876	21585079	2	1
chr10	21612988	21613200	2	2
chr10	22229471	22229713	4	11
chr10	23099133	23099413	2	4
chr10	25060120	25060356	2	2
chr10	26435956	26436184	2	2
chr10	26491936	26492239	4	3
chr10	26555923	26556436	7	10
chr10	26571728	26572067	4	N_VARIANTS
chr10	26622017	26622197	6	2
chr10	27155860	27156221	2	4
chr10	28176555	28176814	2	1
chr10	29130165	29130385	2	1
chr10	29326423	29326645	2	1
chr10	29327572	29327765	3	3
chr10	29618687	29618917	3	2
chr10	29687864	29688053	2	2
chr10	30002540	30002709	2	4
chr10	30534626	30534807	2	3
chr10	30617248	30617447	2	3
chr10	32065957	32066148	2	1
chr10	32986049	32986351	2	4
chr10	33156024	33156270	2	1
chr10	33273449	33273699	3	1
chr10	33507989	33508298	5	7
chr10	33612591	33612892	3	3
chr10	33805908	33806109	5	1
chr10	33859387	33859540	2	N_VARIANTS
chr10	33876632	33876909	2	4
chr10	33880348	33880506	3	1
chr10	34121222	34121534	4	5
chr10	34539812	34540014	2	3
chr10	34551353	34551593	3	2
chr10	34727621	34727824	2	3
chr10	35090566	35090962	2	5
chr10	35140877	35141058	3	2
chr10	35216575	35216767	2	4
chr10	35267594	35268027	4	6
chr10	38033034	38033268	4	2
chr10	38356153	38356476	2	7
chr10	38401841	38402097	4	4
chr10	43399346	43399640	2	2
chr10	43407727	43407948	2	4
chr10	43421018	43421307	2	4
chr10	44937277	44937503	4	2
chr10	44940118	44940383	2	2
chr10	45555892	45556098	3	3
chr10	45627495	45627771	2	4
chr10	47555372	47555665	1	N_VARIANTS
chr10	47991887	47992110	3	N_VARIANTS
chr10	50571953	50572434	2	3
chr10	52212207	52212408	3	4
chr10	53953713	53953953	4	2
chr10	57703838	57704129	2	4
chr10	57864792	57865122	3	3
chr10	58976305	58976531	3	1
chr10	58994718	58995031	4	4
chr10	59007431	59007724	3	2
chr10	59058029	59058259	3	N_VARIANTS
chr10	59626586	59626832	4	1
chr10	61075713	61075916	3	2
chr10	62022055	62022307	6	5
chr10	63702211	63702521	2	2
chr10	66378540	66378849	4	7
chr10	67288748	67289065	2	1
chr10	67803795	67804024	2	2
chr10	69061527	69061728	2	N_VARIANTS
chr10	69883310	69883604	4	1
chr10	70851689	70851922	3	2
chr10	70885948	70886232	5	4
chr10	71597855	71598271	3	2
chr10	71638027	71638399	2	3
chr10	72268805	72268980	2	N_VARIANTS
chr10	72272726	72273127	2	1
chr10	74033345	74033595	4	1
chr10	74097865	74098093	2	N_VARIANTS
chr10	75788428	75788770	2	4
chr10	75860144	75860314	2	1
chr10	75960006	75960228	2	3
chr10	76328472	76328663	2	3
chr10	76420890	76421052	2	N_VARIANTS
chr10	76558691	76558937	3	2
chr10	77056753	77056969	2	2
chr10	77554094	77554324	2	2
chr10	78539548	78539804	5	3
chr10	78639668	78639960	3	4
chr10	78853978	78854125	2	N_VARIANTS
chr10	78998289	78998578	3	4
chr10	79023525	79023758	2	2
chr10	79059239	79059519	2	3
chr10	79127189	79127464	3	6
chr10	80281922	80282197	2	2
chr10	80289879	80290273	2	2
chr10	80322212	80322488	2	1
chr10	80491630	80491929	2	3
chr10	80495272	80495671	2	6
chr10	80498833	80499088	2	4
chr10	83701851	83702101	7	5
chr10	83706178	83706391	2	2
chr10	84139296	84139633	2	4
chr10	84416034	84416339	2	5
chr10	85557275	85557433	2	3
chr10	86164518	86164752	3	1
chr10	86477284	86477537	2	3
chr10	87171725	87171983	2	1
chr10	87200990	87201224	3	2
chr10	87500706	87501038	2	4
chr10	87618741	87618893	2	2
chr10	87636325	87636692	3	4
chr10	87740272	87740590	4	1
chr10	87846875	87847013	2	1
chr10	87952699	87952951	2	2
chr10	88104333	88104552	2	1
chr10	88521824	88522126	2	1
chr10	88792701	88792996	3	N_VARIANTS
chr10	89269859	89270141	4	3
chr10	89346479	89346889	2	4
chr10	89393174	89393359	2	1
chr10	89416318	89416516	2	1
chr10	89481713	89481973	3	N_VARIANTS
chr10	89613739	89613941	3	3
chr10	89643735	89644138	6	2
chr10	90887691	90887936	2	1
chr10	91706343	91706677	3	5
chr10	91788586	91788833	2	2
chr10	92059174	92059395	3	3
chr10	93032180	93032466	3	2
chr10	93078155	93078461	3	N_VARIANTS
chr10	94902589	94903020	7	3
chr10	94936890	94937088	4	3
chr10	95324934	95325131	2	1
chr10	95445310	95445484	2	1
chr10	95503073	95503361	2	4
chr10	96637809	96638134	2	4
chr10	96843239	96843368	2	N_VARIANTS
chr10	97297617	97297780	3	2
chr10	97321021	97321230	3	3
chr10	97561076	97561343	2	4
chr10	97684948	97685393	6	5
chr10	99372643	99372929	2	1
chr10	99421360	99421624	2	1
chr10	99430629	99430985	2	5
chr10	99620946	99621518	3	2
chr10	99621576	99621787	3	4
chr10	100075455	100075706	4	N_VARIANTS
chr10	100101597	100102044	2	7
chr10	102227108	102227340	3	1
chr10	102696215	102696395	4	N_VARIANTS
chr10	102850096	102850312	2	1
chr10	103284302	103284483	2	4
chr10	103835295	103835558	3	1
chr10	104120982	104121157	2	1
chr10	104337250	104337445	2	N_VARIANTS
chr10	105993679	105993983	2	2
chr10	106011277	106011550	2	6
chr10	106499556	106499764	3	1
chr10	107056117	107056472	2	6
chr10	110709219	110709371	3	2
chr10	110846318	110846491	2	N_VARIANTS
chr10	110897284	110897514	2	1
chr10	112227531	112227980	3	5
chr10	112272005	112272290	2	6
chr10	112275954	112276286	2	7
chr10	112296993	112297291	6	5
chr10	112347768	112348034	2	1
chr10	112373868	112374124	2	N_VARIANTS
chr10	112842760	112843077	2	3
chr10	113479855	113480113	2	N_VARIANTS
chr10	113630913	113631156	2	2
chr10	114064451	114064696	2	3
chr10	114090364	114090523	3	1
chr10	114575880	114576056	3	4
chr10	114719458	114719647	3	4
chr10	114724337	114724671	2	1
chr10	114749224	114749418	2	1
chr10	115000228	115000511	3	1
chr10	116038312	116038706	6	5
chr10	116186329	116186654	2	2
chr10	116190957	116191197	2	3
chr10	116207157	116207535	3	4
chr10	116867025	116867299	3	4
chr10	116888860	116889111	2	1
chr10	117003384	117003607	2	1
chr10	117175965	117176231	3	1
chr10	118778851	118779103	2	3
chr10	119284856	119285156	3	1
chr10	120392714	120392974	3	3
chr10	121063797	121064056	2	4
chr10	121454839	121455064	2	4
chr10	121542912	121543151	2	N_VARIANTS
chr10	121976708	121976940	3	2
chr10	122197900	122198155	3	2
chr10	122301091	122301206	2	N_VARIANTS
chr10	122449300	122449553	2	3
chr10	122979634	122979777	2	N_VARIANTS
chr10	123171114	123171338	3	4
chr10	124467991	124468321	2	4
chr10	124470584	124471181	6	6
chr10	124987856	124988188	2	3
chr10	126519280	126519444	2	1
chr10	126918290	126918576	2	1
chr10	129708139	129708321	2	4
chr10	131477573	131477742	2	2
chr10	131819734	131820013	13	N_VARIANTS
chr10	131997730	131998115	2	7
chr10	132322860	132323078	2	5
chr10	133162185	133162509	3	3
chr10	133371690	133371967	2	2
chr10	133512033	133512456	3	5
chr10	133763144	133763291	10	N_VARIANTS
chr10	133764217	133764294	5	N_VARIANTS
chr11	308059	308290	3	6
chr11	588019	588268	2	3
chr11	642857	643090	4	3
chr11	654524	654824	3	N_VARIANTS
chr11	778728	778924	2	5
chr11	953588	953831	2	3
chr11	1299088	1299530	4	2
chr11	1335922	1336127	2	2
chr11	1559399	1559689	3	5
chr11	1678610	1678946	6	2
